#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
10              4      -0.627077       0.324978      0.0138526      0.0709301
10              5       0.651374        0.33516      0.0177069      0.0729789
10              6       -0.71897       0.270559      0.0243114      0.0716252
10              7       0.631006       0.334279      0.0156984       0.072772
10              8       0.641854       0.319562      0.0173493      0.0699487
10              9      -0.703937       0.294292      0.0245314       0.071182
10             10              1    1.49012e-08      0.0735057      0.0738237
10             11      -0.693061       0.293282      0.0281761      0.0700969
10             12      -0.614376       0.347385      0.0179159      0.0703052
10             13       0.638068       0.322909      0.0168091      0.0707274
10             14      -0.707497       0.276404      0.0244847      0.0696288
10             15       0.677051       0.293538      0.0226703       0.070508
10             16      0.0702123        0.27617   -0.000247845     0.00754072
10             17     -0.0821579       0.267827   -0.000244971     0.00826626
10             18      0.0586505       0.268422   -0.000112001     0.00733793
10             19     -0.0811461       0.258697   -0.000365217     0.00750328
10             20     -0.0637203       0.273245   -0.000125366     0.00806693
10             21      0.0800538        0.26953    0.000188159     0.00720206
10             22     -0.0820941       0.267279    -0.00025747     0.00757443
10             23      0.0621824       0.267958   -5.35954e-05     0.00761898
10             24      0.0708097       0.277733   -0.000327926     0.00879797
10             25     -0.0626496       0.265389    0.000352443     0.00779184
10             26      0.0569331       0.278217    0.000383316     0.00711944
10             27     -0.0646901       0.271366   -0.000853541      0.0076946
10             28     -0.0753608       0.266865    5.69854e-06     0.00758732
10             29      0.0823796       0.273543   -0.000277403     0.00736821
10             30     -0.0656568        0.27569    1.55509e-05     0.00724442
10             31       0.061846       0.275988   -0.000172154     0.00863063

11              0      -0.633061       0.317705      0.0135508      0.0649894
11              1       0.583281       0.350186      0.0109351      0.0685636
11              2      -0.632804       0.310243      0.0154403      0.0666859
11              3       0.643062       0.305925      0.0172854      0.0679744
11              4       0.652477       0.322332      0.0158464      0.0684889
11              5      -0.597349       0.356787      0.0140595      0.0657719
11              6       0.639019       0.332306      0.0167518      0.0695997
11              7      -0.714561       0.245888      0.0221397      0.0678232
11              8      -0.696871       0.282266      0.0213849      0.0690223
11              9       0.598216       0.353688      0.0149142       0.068466
11             10      -0.693061       0.293282      0.0281761      0.0700969
11             11              1              0      0.0663922       0.070844
11             12       0.646191       0.309488      0.0173494      0.0692807
11             13      -0.593013       0.354764       0.012893      0.0687583
11             14       0.632732       0.316032       0.017885      0.0671448
11             15      -0.716138       0.274615      0.0259735      0.0692381
11             16     -0.0821163       0.276583   -0.000465901     0.00698623
11             17      0.0912041       0.276758    0.000481458     0.00768964
11             18     -0.0742443       0.278556    0.000149301     0.00722223
11             19      0.0980552       0.268797     0.00011587     0.00682102
11             20      0.0781839       0.279015   -1.83771e-05     0.00741237
11             21     -0.0889969       0.280486    5.03336e-05     0.00725038
11             22       0.092692       0.269644   -0.000425873     0.00715365
11             23     -0.0676966       0.275555   -0.000150929     0.00759195
11             24     -0.0864607       0.278966    3.17638e-05     0.00859929
11             25      0.0868992       0.264793    6.22989e-05      0.0077432
11             26      -0.068351       0.278643   -1.85024e-05      0.0063635
11             27      0.0714925       0.280966   -0.000387937     0.00691841
11             28      0.0835588       0.274935    2.31616e-06     0.00673925
11             29       -0.10398       0.274745   -9.43375e-05     0.00690019
11             30      0.0727399        0.28233    4.11858e-05     0.00715418
11             31     -0.0739421       0.276705   -4.61126e-05     0.00854392

12              0      -0.706927       0.285164      0.0238889      0.0668876
12              1       0.631427       0.336936      0.0162893      0.0693361
12              2      -0.630144       0.327697      0.0140286      0.0641456
12              3       0.646707       0.321558      0.0178427      0.0704413
12              4       0.671904       0.302679       0.016681        0.06994
12              5      -0.622006         0.3295      0.0114853      0.0675116
12              6       0.592305       0.367734     0.00955135      0.0694628
12              7      -0.618922       0.338899      0.0112634       0.069482
12              8      -0.712094       0.272597      0.0210537      0.0681895
12              9       0.647926       0.327168      0.0168799      0.0689358
12             10      -0.614376       0.347385      0.0179159      0.0703052
12             11       0.646191       0.309488      0.0173494      0.0692807
12             12              1              0      0.0690931      0.0719612
12             13      -0.686827       0.321773       0.024545      0.0697902
12             14       0.637524       0.338509      0.0214622      0.0703294
12             15      -0.725701       0.262936      0.0287352      0.0692298
12             16     -0.0532712       0.282092   -0.000296419     0.00691057
12             17      0.0709468       0.275763    2.22634e-05     0.00825332
